MedidasCCVStatusId,SensorCCVId,VehicleTypeId,Timestamp,Fluxo,Velocidade,EstadodeTrafego
893262118,10000028,3,2023-02-10 17:30:00,5,NULL,NULL
893262119,10000028,4,2023-02-10 17:30:00,289,NULL,NULL
893262120,10000028,5,2023-02-10 17:30:00,16,NULL,NULL
893262121,10000028,6,2023-02-10 17:30:00,0,NULL,NULL
893266388,10000028,3,2023-02-10 17:35:00,2,NULL,NULL
893266389,10000028,4,2023-02-10 17:35:00,288,NULL,NULL
893266390,10000028,5,2023-02-10 17:35:00,18,NULL,NULL
893266391,10000028,6,2023-02-10 17:35:00,0,NULL,NULL
893271348,10000028,3,2023-02-10 17:40:00,2,NULL,NULL
893271349,10000028,4,2023-02-10 17:40:00,257,NULL,NULL
893271350,10000028,5,2023-02-10 17:40:00,22,NULL,NULL
893271351,10000028,6,2023-02-10 17:40:00,1,NULL,NULL
893275526,10000028,3,2023-02-10 17:45:00,2,NULL,NULL
893275527,10000028,4,2023-02-10 17:45:00,340,NULL,NULL
893275528,10000028,5,2023-02-10 17:45:00,21,NULL,NULL
893275529,10000028,6,2023-02-10 17:45:00,0,NULL,NULL
893280065,10000028,3,2023-02-10 17:50:00,2,NULL,NULL
893280066,10000028,4,2023-02-10 17:50:00,321,NULL,NULL
893280067,10000028,5,2023-02-10 17:50:00,14,NULL,NULL
893280068,10000028,6,2023-02-10 17:50:00,0,NULL,NULL
893285620,10000028,3,2023-02-10 17:55:00,1,NULL,NULL
893285621,10000028,4,2023-02-10 17:55:00,295,NULL,NULL
893285622,10000028,5,2023-02-10 17:55:00,16,NULL,NULL
893285623,10000028,6,2023-02-10 17:55:00,0,NULL,NULL
893292180,10000028,3,2023-02-10 18:00:00,0,NULL,NULL
893292181,10000028,4,2023-02-10 18:00:00,305,NULL,NULL
893292182,10000028,5,2023-02-10 18:00:00,27,NULL,NULL
893292183,10000028,6,2023-02-10 18:00:00,0,NULL,NULL
893296912,10000028,3,2023-02-10 18:05:00,0,NULL,NULL
893296913,10000028,4,2023-02-10 18:05:00,321,NULL,NULL
893296914,10000028,5,2023-02-10 18:05:00,11,NULL,NULL
893296915,10000028,6,2023-02-10 18:05:00,0,NULL,NULL
893303040,10000028,3,2023-02-10 18:10:00,2,NULL,NULL
893303041,10000028,4,2023-02-10 18:10:00,248,NULL,NULL
893303042,10000028,5,2023-02-10 18:10:00,17,NULL,NULL
893303043,10000028,6,2023-02-10 18:10:00,1,NULL,NULL
893308051,10000028,3,2023-02-10 18:15:00,0,NULL,NULL
893308052,10000028,4,2023-02-10 18:15:00,248,NULL,NULL
893308053,10000028,5,2023-02-10 18:15:00,11,NULL,NULL
893308054,10000028,6,2023-02-10 18:15:00,1,NULL,NULL
893312862,10000028,3,2023-02-10 18:20:00,3,NULL,NULL
893312863,10000028,4,2023-02-10 18:20:00,322,NULL,NULL
893312864,10000028,5,2023-02-10 18:20:00,18,NULL,NULL
893312865,10000028,6,2023-02-10 18:20:00,0,NULL,NULL
893317104,10000028,3,2023-02-10 18:25:00,1,NULL,NULL
893317105,10000028,4,2023-02-10 18:25:00,310,NULL,NULL
893317106,10000028,5,2023-02-10 18:25:00,8,NULL,NULL
893317107,10000028,6,2023-02-10 18:25:00,0,NULL,NULL
893322953,10000028,3,2023-02-10 18:30:00,1,NULL,NULL
893322954,10000028,4,2023-02-10 18:30:00,313,NULL,NULL
893322955,10000028,5,2023-02-10 18:30:00,16,NULL,NULL
893322956,10000028,6,2023-02-10 18:30:00,1,NULL,NULL
893327708,10000028,3,2023-02-10 18:35:00,3,NULL,NULL
893327710,10000028,4,2023-02-10 18:35:00,321,NULL,NULL
893327713,10000028,5,2023-02-10 18:35:00,17,NULL,NULL
893327715,10000028,6,2023-02-10 18:35:00,0,NULL,NULL
893332506,10000028,3,2023-02-10 18:40:00,1,NULL,NULL
893332507,10000028,4,2023-02-10 18:40:00,370,NULL,NULL
893332508,10000028,5,2023-02-10 18:40:00,20,NULL,NULL
893332509,10000028,6,2023-02-10 18:40:00,2,NULL,NULL
893336735,10000028,3,2023-02-10 18:45:00,2,NULL,NULL
893336736,10000028,4,2023-02-10 18:45:00,325,NULL,NULL
893336737,10000028,5,2023-02-10 18:45:00,9,NULL,NULL
893336738,10000028,6,2023-02-10 18:45:00,0,NULL,NULL
893345400,10000028,3,2023-02-10 18:50:00,8,NULL,NULL
893345401,10000028,4,2023-02-10 18:50:00,295,NULL,NULL
893345402,10000028,5,2023-02-10 18:50:00,12,NULL,NULL
893347176,10000028,6,2023-02-10 18:50:00,0,NULL,NULL
893354478,10000028,3,2023-02-10 18:55:00,4,NULL,NULL
893354479,10000028,4,2023-02-10 18:55:00,292,NULL,NULL
