MedidasCCVStatusId,SensorCCVId,VehicleTypeId,Timestamp,Fluxo,Velocidade,EstadodeTrafego,OriginalTimestamp
943564546,10010173,5,2023-03-10 19:11:00,1,51,NULL,2023-03-10 19:11:00
943564534,10010173,4,2023-03-10 19:12:00,10,78,NULL,2023-03-10 19:12:00
943564536,10010173,4,2023-03-10 19:13:00,6,80,NULL,2023-03-10 19:13:00
943564539,10010173,5,2023-03-10 19:13:00,1,80,NULL,2023-03-10 19:13:00
943564540,10010173,3,2023-03-10 19:14:00,1,118,NULL,2023-03-10 19:14:00
943564541,10010173,4,2023-03-10 19:14:00,11,95,NULL,2023-03-10 19:14:00
943571853,10010173,4,2023-03-10 19:15:00,13,88,NULL,2023-03-10 19:15:00
943571857,10010173,3,2023-03-10 19:16:00,1,133,NULL,2023-03-10 19:16:00
943571856,10010173,4,2023-03-10 19:16:00,10,90,NULL,2023-03-10 19:16:00
943571863,10010173,4,2023-03-10 19:17:00,4,83,NULL,2023-03-10 19:17:00
943571860,10010173,4,2023-03-10 19:18:00,1,84,NULL,2023-03-10 19:18:00
943575935,10010173,4,2023-03-10 19:19:00,8,77,NULL,2023-03-10 19:19:00
943575936,10010173,4,2023-03-10 19:20:00,7,80,NULL,2023-03-10 19:20:00
943575939,10010173,4,2023-03-10 19:21:00,8,83,NULL,2023-03-10 19:21:00
943575940,10010173,4,2023-03-10 19:22:00,5,87,NULL,2023-03-10 19:22:00
943575941,10010173,3,2023-03-10 19:22:00,1,127,NULL,2023-03-10 19:22:00
943575942,10010173,4,2023-03-10 19:23:00,9,83,NULL,2023-03-10 19:23:00
943575949,10010173,5,2023-03-10 19:23:00,1,91,NULL,2023-03-10 19:23:00
943575945,10010173,4,2023-03-10 19:24:00,4,95,NULL,2023-03-10 19:24:00
943575953,10010173,3,2023-03-10 19:25:00,1,171,NULL,2023-03-10 19:25:00
943581178,10010173,6,2023-03-10 19:25:00,1,86,NULL,2023-03-10 19:25:00
943581179,10010173,4,2023-03-10 19:25:00,6,84,NULL,2023-03-10 19:25:00
943581181,10010173,4,2023-03-10 19:26:00,6,98,NULL,2023-03-10 19:26:00
943581182,10010173,4,2023-03-10 19:27:00,5,90,NULL,2023-03-10 19:27:00
943581184,10010173,4,2023-03-10 19:28:00,9,85,NULL,2023-03-10 19:28:00
943581190,10010173,3,2023-03-10 19:28:00,1,96,NULL,2023-03-10 19:28:00
943581185,10010173,5,2023-03-10 19:28:00,1,63,NULL,2023-03-10 19:28:00
943581187,10010173,4,2023-03-10 19:29:00,5,89,NULL,2023-03-10 19:29:00
943583907,10010173,5,2023-03-10 19:30:00,1,87,NULL,2023-03-10 19:30:00
943581191,10010173,4,2023-03-10 19:30:00,5,86,NULL,2023-03-10 19:30:00
943583909,10010173,4,2023-03-10 19:31:00,7,92,NULL,2023-03-10 19:31:00
943583910,10010173,4,2023-03-10 19:32:00,7,89,NULL,2023-03-10 19:32:00
943583912,10010173,4,2023-03-10 19:33:00,1,77,NULL,2023-03-10 19:33:00
943590077,10010173,4,2023-03-10 19:34:00,11,82,NULL,2023-03-10 19:34:00
943590081,10010173,5,2023-03-10 19:35:00,1,104,NULL,2023-03-10 19:35:00
943590082,10010173,4,2023-03-10 19:35:00,2,92,NULL,2023-03-10 19:35:00
943590087,10010173,4,2023-03-10 19:36:00,6,92,NULL,2023-03-10 19:36:00
943590084,10010173,4,2023-03-10 19:37:00,7,97,NULL,2023-03-10 19:37:00
943590085,10010173,4,2023-03-10 19:38:00,6,83,NULL,2023-03-10 19:38:00
943592663,10010173,4,2023-03-10 19:39:00,4,80,NULL,2023-03-10 19:39:00
943592668,10010173,3,2023-03-10 19:40:00,1,118,NULL,2023-03-10 19:40:00
943592664,10010173,4,2023-03-10 19:40:00,8,88,NULL,2023-03-10 19:40:00
943592665,10010173,4,2023-03-10 19:41:00,7,69,NULL,2023-03-10 19:41:00
943592669,10010173,4,2023-03-10 19:42:00,4,89,NULL,2023-03-10 19:42:00
943592670,10010173,4,2023-03-10 19:43:00,4,73,NULL,2023-03-10 19:43:00
943598405,10010173,3,2023-03-10 19:44:00,1,60,NULL,2023-03-10 19:44:00
943598404,10010173,4,2023-03-10 19:44:00,6,92,NULL,2023-03-10 19:44:00
943598406,10010173,4,2023-03-10 19:45:00,6,83,NULL,2023-03-10 19:45:00
943598407,10010173,4,2023-03-10 19:46:00,3,82,NULL,2023-03-10 19:46:00
943598409,10010173,4,2023-03-10 19:47:00,5,85,NULL,2023-03-10 19:47:00
943598415,10010173,3,2023-03-10 19:47:00,1,104,NULL,2023-03-10 19:47:00
943598410,10010173,4,2023-03-10 19:48:00,7,87,NULL,2023-03-10 19:48:00
943598412,10010173,4,2023-03-10 19:49:00,10,86,NULL,2023-03-10 19:49:00
943603826,10010173,4,2023-03-10 19:50:00,5,88,NULL,2023-03-10 19:50:00
943603828,10010173,4,2023-03-10 19:51:00,10,99,NULL,2023-03-10 19:51:00
943603835,10010173,4,2023-03-10 19:52:00,9,91,NULL,2023-03-10 19:52:00
943603831,10010173,4,2023-03-10 19:53:00,3,98,NULL,2023-03-10 19:53:00
943603834,10010173,4,2023-03-10 19:54:00,3,82,NULL,2023-03-10 19:54:00
943607360,10010173,3,2023-03-10 19:55:00,1,112,NULL,2023-03-10 19:55:00
943605552,10010173,6,2023-03-10 19:55:00,1,86,NULL,2023-03-10 19:55:00
